Team Number,Team Name,Region
5153,R.O.A.R (Robots on a Rampage),Iowa
5155,Ramifications,Missouri
5159,X-bots,Hawaii
5161,Eaglemaniacs,Georgia
5175,Vector Robotics,Texas Houston
5178,Mech Hawks,Chesapeake
5187,Transistor Titans,Illinois
5188,Team Phoenix,Texas Central
5189,Team Wolves,Texas Central
5196,Robo Yetis,Colorado
5198,Wingnuts,Oregon
5199,Duct Tape and a Prayer,Illinois
5206,The Knights of Ni,California Northern
5214,QLS Human Resources,California Northern
5218,Javabots,California Southern
5225,Sidwell Varsity,Chesapeake
5227,Galactech,Missouri
5233,Vector,Chesapeake
5237,Loose Screws,Michigan
5243,Team Griffin,Texas Central
5248,The FERMIONS,Missouri
5262,ILITE - Innovation,Chesapeake
5270,Cary Academy & Cary Academy,North Carolina
5273,ARC Thunder,Massachusetts
5276,Broken Code,Massachusetts
5283,LAIMO,New York Long Island
5285,Robo Knights,California Southern
5289,Martians,Michigan
5290,Steel Eagles,Michigan
5291,TOWR The Oxford Wildcats Robotics,Michigan
5292,Red Storm Robotics-White,Michigan
5300,The Dirty Dozen,Indiana
5309,Plan B,North Carolina
5319,Buff Sci-borgs,New York Excelsior
5320,RoboLancers Gold,Pennsylvania
5321,TechHeroes,Pennsylvania
5325,The Muses,California Southern
5356,TARDIS,New York Excelsior
5361,Lionotics,New York City
5363,YULA Varsity,California Southern
5383,Neutrinos Breaking the Laws of Physics,Michigan
5384,Emergency Situation Evacuate Now,Michigan
5385,Enigma Riddlers,Michigan
5386,Fabricators,Michigan
5387,TecHounds,New Jersey
5389,Wired Wolves,Alaska
5390,Vistamar 5390,California Southern
5395,Team Clutch,Oklahoma
5404,Titanium Titans,Missouri
5411,"G3 Geeks, Gears, and Gadgets Green",Michigan
5422,Quioxte,Missouri
5436,Aluminum Cobblers,Massachusetts
5439,The GLUONS,Missouri
5440,Blazin' Circuits,Pennsylvania
5445,Scramblers,Iowa
5467,1.21 Gigawatts,Florida
