Team Number,Team Name,Region
8136,Fire and Ice,Missouri
8142,Mountie Redbot,Michigan
8149,Red Alert: Panic in the Build Room,Indiana
8153,Team #8153,Oregon
8161,Robogoats,Oregon
8188,Gear Heads,Oregon
8194,Digi-Gators,Chesapeake
8203,Lil' Gibbies,Texas Central
8204,Blue Machine,Texas North
8227,Enginuity,Massachusetts
8239,Vicious Vassar Vulcans,Michigan
8245,CohBots,Massachusetts
8271,E-Hackers,Montana
8272,CC Sparks,Indiana
8280,Calamity,Utah
8284,Soap Dispenser,Texas South
8291,Bulldog Robotics,Texas North
8295,Baron Alpha,Texas Central
8300,Pi Rho Eagles,North Carolina
8304,Wired Cats,Vermont
8327,Spartans,Mexico
8365,Gearmasters,New York City
8367,ACME Robotics,California Northern
8373,Diva Force,Arkansas
8375,Vulcan Robotics,California Northern
8379,The Parity Bits,Massachusetts
8380,UC Robotics,California San Diego
8381,Family Friends,California Northern
8393,The Giant Diencephalic BrainSTEM Robotics Team,Chesapeake
8395,The A-Team,Chesapeake
8397,Beta,New York Excelsior
8400,Perfect Paradox,Utah
8404,Quixilver,California Northern
8405,Millburn Robotics,New Jersey
8406,The Horde,Texas North
8411,SHARP,Alabama
8413,The Bucket Bots,Rhode Island
8417,'Lectric Legends,Kentucky
8421,Tigers,New Jersey
8424,Cyber Eagles,Texas Central
8433,CyberStingers Green,Georgia
8435,KnightBots,Indiana
8461,Elementary  My Dear Botson,Missouri
8468,The Javengers,Pennsylvania
8472,Dinomite,California Southern
8478,E-Bots,Michigan
8479,RoboCavs Gold,Chesapeake
8480,Technabots,Pennsylvania
8487,Robo Toasters Orange,Michigan
8490,Mamaroneck Tigers,New York Excelsior
8492,Titanium Trojans,Michigan
8499,Robo Hawks,Arizona
8500,The Generals,New York City
8509,STEEL Serpents,Pennsylvania
8511,Greenhillls School Lawnmowers I,Michigan
8513,Joe Bots - Maize,Michigan
8514,BA GREEN: Robotonics,Texas North
8527,Bond Bots,New York Excelsior
8529,Team R.O.B.O.T.I.C.S.,Michigan
8531,GA Bots,Michigan
8533,CSA MS Miners,Michigan
8535,Techno Tardigrades,Chesapeake
8541,Blue Chargerbots,Texas Central
8548,Bearly Functioning,Washington
8563,Thunder Goats,Washington
8565,TechnicBots,Texas North
8569,RoboKnights,North Carolina
8572,Wall-Y Robotics,Wisconsin
8578,Juden-Ki Robotics,Indiana
8579,Classical Engineers,Michigan
8580,Oakview CyberDragons,Michigan
8581,Ãdificatores,Ohio
8582,Heavy Metal,Chesapeake
8588,Finger Puppet Mafia,Iowa
8603,The Fighting Gnomes,Michigan
8610,ToborTech,Oregon
8617,Techno Tigers,Florida
8620,Wormgear Warriors,Illinois
8621,"G3: Geeks, Gears & Gadgets Blue",Michigan
8624,Spectrum,California Southern
8625,RHS Robotix,California Northern
8626,ProtoSurge,Texas North
8636,FIRE,Minnesota
8637,Glitchy Bears,Minnesota
8638,tadpole,Oklahoma
8641,The Masters,Utah
8642,8 to Automate FTC,Ohio
8644,The Brainstormers,Massachusetts
8645,Robotic Doges,Pennsylvania
8646,Team KAOS,Michigan
8647,Super Cell,Louisiana
8648,Manual High School RoboRams,Illinois
8649,Warewolves,Iowa
8651,Wait For It...,Mississippi
8656,Queen Bee's,Michigan
8672,UBett,Iowa
8678,Controlled Chaos,Georgia
8680,Kraken-Pinion,Wisconsin
8688,Marysville Jr Vi-Bots,Michigan
8690,Twisted Circuits,Mississippi
8693,Scarabs,Washington
8695,Tri Hards,Iowa
8696,Trobotix,Iowa
8698,Guilford RoboVikings,Illinois
8699,The League of Extraordinary Roboticist,Connecticut
8702,Innovotics,Chesapeake
8703,Tiger Robotics,Louisiana
8709,Roosevelt High School,Illinois
8717,T Falls Robotics,Montana
8719,Quantum Leap,Ohio
8721,Mighty Mechanics,New York City
8728,Bionic Wolves,Illinois
8730,Robogriffins,Pennsylvania
8732,Thunderbotz,Iowa
8733,RoboVikings,Michigan
8740,'Iobotics,Hawaii
8741,'Iobotics,Hawaii
8743,Raw Bacon,Iowa
8755,E-Storm,Wisconsin
8772,RoboWildcats,Mississippi
8777,The Goonies,Michigan
8790,Mohawk Warriors Purple,Texas Houston
8791,Green Machine,Indiana
8793,Wired Woodmen,Indiana
8796,Clay,Florida
8797,Oakleaf High School,Florida
8798,Aluminati Industries,Florida
8799,Robo Tigers,Florida
8801,Sioux Center,Iowa
8807,Molten Sprockets,Iowa
8811,Robo*Bison Amistad,Texas North
8812,CyberRaptors,New Jersey
8813,The Winter Soldiers,Iowa
8816,22nd Century Robotics,New Jersey
8818,Portledge Hit the Switch!,New York Long Island
8823,Mariner Mayhem,Wisconsin
8824,N-Bots RoboStorm,Iowa
8825,CADfish,Oklahoma
8845,The Wild Bees,Michigan
8856,Springfield Robotics,Missouri
8859,RaiderTek,Florida
8863,Precision Cut-Ups,New York Excelsior
8866,Cybernetics,Oklahoma
8872,Robopocalypse,California Northern
8886,Saber Robotics,Texas Central
8887,Marshalltown BotCats,Iowa
8888,Infinity Factor,New Hampshire
8892,PHRED,Oregon
8894,Clueless Robotics (Team ADHD^2),California Southern
8895,Loose Screws,Missouri
8898,'Iobotics,Hawaii
8899,EP Robo Raiders,Illinois
8902,Cosmic Goose,New Jersey
8905,Statesbots- Orange,Missouri
8907,Blue Box Bots,Illinois
8922,STEAMpunks,Iowa
8923,TWIST,Washington
8930,Tech-Nical Difficulties,Iowa
8932,NBC Robocats,Michigan
8942,Team Max,Connecticut
8947,Techtonics,North Carolina
8956,Team Pyrogen,Louisiana
8962,TimeCrafters,Minnesota
8969,Custom Settings,Colorado
8971,Diamond Blades,Indiana
8988,Bellevue Blockheads,Iowa
9006,Austin Prep Crusaders,Massachusetts
9010,Robotic Rangers,Texas North
9013,Matrix,Florida
9020,iCreek,Michigan
9021,TMSA Batteries,North Carolina
9027,Synergistic Effect,Missouri
9028,Savage Warriors,Michigan
9034,Mustangs,Missouri
9040,STEAMpunks Alpha,California Southern
9044,NERD-Hinsin's Legacy,Oregon
9045,Motorhead,Texas Central
9049,RoboPuffs,California San Diego
9054,Viridian Robotics,Texas North
9060,Smarties,Oregon
9063,Claws of Steel,North Carolina
9064,Firefly,Chesapeake
9073,Knightrix,Chesapeake
9076,Sketchy Engineering,North Carolina
9087,Twisted Devils Green,Michigan
9102,Ravonics Orion,Missouri
9103,Ravonics Rover,Missouri
9110,WiredCats Omega,Florida
9113,Minimum Cache,Illinois
9121,Falcon Force,South Carolina
9128,Mounties,Rhode Island
9133,Robo Dawgs,Michigan
9137,BECA Hexabots,New York City
9161,Overload,Texas North
9164,Zorrobots,California San Diego
9175,Warrior Bots,Florida
9182,Short Circuits,Minnesota
9189,All Charged Up,Illinois
9191,Beta Testers,Texas Houston
9202,Her Majesty's Engineers,Chesapeake
9203,Chaotic Cool Cats,Iowa
9205,Iron Maidens,Minnesota
9206,iRobotics,Georgia
9214,RÂ²,Florida
9215,Team Talos,Iowa
9219,If It Ain't Broke,Rhode Island
9220,Rancho Rebel Robotics,California Southern
9222,O'Hara Robotics,Pennsylvania
9224,Techno G.O.A.T.S.,Wisconsin
9225,Dynamite Social Club,Wisconsin
9242,GearHounds,Pennsylvania
9244,Lenape Valley Robotics,New Jersey
9247,Chromium Robotics,California Southern
9254,STEM Punks,California Southern
9256,Robo*Bison Esfuerzo,Texas North
9261,Level Up,California San Diego
9266,Pyrobots,California San Diego
9277,Hazmat Robotics Explosives,Florida
9294,Big Bots Corp.,New York City
9295,Heroines,New York City
9297,Tractor Technicians in Training (Red),Michigan
9298,Bionic Cobras,Mississippi
9324,BWS EagleBot,California Southern
9326,Liquid Oxygen,Massachusetts
9330,NeoBots One,Washington
9338,Lightning Coalition Robotics,Chesapeake
9339,Frog Force,Oregon
9342,The Incredibots,Illinois
9357,Dolphines,Oregon
9362,Samurai Robotics,Texas West & Panhandle
9367,Torrey Techies White,California San Diego
9371,General Relativity,New York City
9372,Standard Model,New York City
9377,ROBUFFS Yellow Submarine 9377,Texas Central
9378,Magma Robotics,Hawaii
9381,Hot Bots,Texas West & Panhandle
9384,Hydraulic Hydras,New York City
9385,Team Leviathan,New York City
9386,Elmer and Elsie Robotics,Texas North
9402,CyberSwarm,Texas North
9403,Hive of Steel,Texas North
9410,Frank's Garage,Illinois
9411,Rolling Thunder,Illinois
9415,Wrench Dressing,Minnesota
9421,Hydrofluoric Robotics,New York Long Island
9432,"Blood, Sweat, & Gears",California Southern
9433,Twisted Metal,California Southern
9448,Wolves,California Northern
9450,Falcons FIRST,Chesapeake
9458,Power Jackets,Michigan
9470,Jefferson High School / SEI,Oregon
9473,Crocobots,North Dakota
9476,Advanced Skilltronics,Michigan
9487,Code Red,Oregon
9499,Destrobots,Michigan
9503,The Goofy Goobers,Texas Central
9505,The Bot Patrol,North Dakota
9507,Rubber Ducks Reedbotics,Nevada
9511,Low Voltage,Texas North
9513,System Overload,California Southern
9527,Rogue Resistance,Texas Central
9530,Honey Nut Gearios,Chesapeake
9533,Bravenators,New Jersey
9536,Slobberbots,Minnesota
9566,Tech Bam,Iowa
9567,Cybernetic Elks,Oregon
9570,GearGirls,Pennsylvania
9579,Poplar Bluff Iron Mules,Missouri
9581,Automated Admiralty,North Carolina
9600,YULA Girls,California Southern
9614,Hyperion,California Northern
9617,Loose Screws,Minnesota
9618,Cyber Spartans,Pennsylvania
9622,RMS Robotics,Vermont
9626,Hockabots,Texas North
9637,Dominican Ultraviolet,Louisiana
9650,Machine Maniacs,Connecticut
9656,Omega,California Northern
9657,Athena Robotics,California Northern
9661,Storm Chasers,Louisiana
9662,Apollo,Romania
9667,Bullis Robotics,Chesapeake
9681,Parallel Lions,New York City
9686,Raiders of the ARC- Black,Georgia
9695,BCHS Electric Eagles,Arizona
9707,St. Mary's Robotic Saints,North Dakota
9721,Green Mountain Gears,Vermont
9725,Clockwork Cardinals,Massachusetts
9735,Canis Major,Texas West & Panhandle
9743,Stinger Robotics,Arizona
9768,Steel Eagles,Louisiana
9770,A 2 L,Chesapeake
9775,Intrinsic Schools Belmont Campus,Illinois
9778,Robotic Chinchillas,Texas West & Panhandle
9784,Dry Ice,California Northern
9785,Cronos,Georgia
9788,Manual High School RoboRams II,Illinois
9791,Divide by Zero,Pennsylvania
9792,GSA RoboNerds,Missouri
9800,TechnoSaints A,Florida
9801,Titanium Minds,Minnesota
9803,Orange County High School Hornets,Chesapeake
9808,Team Chargers,Missouri
9819,RoboRats,Michigan
9820,Girls of Steel Hypatia,Pennsylvania
9821,Girls of Steel Hopper,Pennsylvania
9828,Ultron Unit,Ohio
9830,RobotLits,Chesapeake
9838,elopdat,Oklahoma
9840,Royal Robotics,Texas Houston
9848,GearView,New Jersey
9849,The Small Fries,Missouri
9853,Chatham Cougars,New Jersey
9854,Penn Charter Robotics,Pennsylvania
9855,Mattawan RoboKats - 9855,Michigan
9856,Spaghettified,Missouri
9864,Jug Rox Robotix,Indiana
9876,The Countdown,Washington
9879,Root Negative One,Alabama
9881,Golden Gears,California Southern
9884,void robotics,Washington
9887,CyberDragons Marvinette,California Southern
9889,Cruise Control,New Jersey
9892,EngiNERDs,California San Diego
9894,RoboLions,California Southern
9895,Greenhills School Lawnmowers II,Michigan
9905,Rampire,Missouri
9912,LadyBots,Tennessee
9923,Team AAA,Texas Central
9925,Delta Robotics,Iowa
9929,TNT (Tech Ninja Team),Illinois
9930,Robo-Knights,Florida
9931,Northeast Viking Vendors,Michigan
9933,Blazin' Turtles,Michigan
9934,Webb Robotics - FTC,Alabama
9944,SATURN #9944,Florida
9952,CHCA Beak Squad 7-8,Ohio
9956,The Knack,Wisconsin
9960,N.E.R.D.S,Missouri
9963,Comets,North Dakota
9964,Duluth Krakens,Minnesota
9968,CrossFire,Iowa
9973,Scrap Mechanics,Iowa
9974,T.H.O.R.,Iowa
9978,Avengers Tech,Iowa
9983,Robo Falcons B,Iowa
9986,Eaglebotics Navy,Florida
9987,Eaglebotics Gold,Florida
9988,Taft Robotics,Iowa
9990,Robo Vikings,North Carolina
9993,Storm Bots,North Carolina
10001,RoboCavs Silver,Chesapeake
10006,Spudnik,California Southern
10015,Hyper Droid,Alberta
10016,Clarkston RoboWolves,Michigan
10021,The Red Legion,South Carolina
10022,WiredCats Gen 3,Florida
10023,Ayaanic Bond,California Northern
10024,Twisted Devils Black,Michigan
10031,Red Storm Robotics-Blue,Michigan
10035,Robo Rangers,Michigan
10055,Momentum,Texas Houston
10062,Robogators,Michigan
10064,Lady Gears,Texas Houston
10068,Duct-Ties & Zip-Tape,Georgia
10069,Autonomous Anonymous,Iowa
10075,Tech Turtles,Minnesota
10082,Mechanicats,Iowa
10084,Team Calamari,Ohio
10091,N.Y.A.N. Robotics - Not Your Average Nerds,Illinois
10092,Green.Griffins;,California San Diego
10093,RoboKays,Illinois
10095,Revelation,Texas Houston
10096,Those Guys,New Jersey
10098,2 Eyed Illuminati,Pennsylvania
10099,Chain Reaction,Alaska
10100,Phoenix Force,Wisconsin
10101,Binary Bullets,Illinois
10104,That OTHER Team,Michigan
10106,CBC Robotics,Missouri
10107,ALoTO,Iowa
10110,Pixel Knights,Iowa
10111,Herberger Javelinas,Arizona
10117,Party Pandas,Ohio
10123,"Springfield Robotics ""The Riveters""",Missouri
10127,Tesla's Knights,Missouri
10130,Crown Joules,Florida
10132,Rocket Beavers,Connecticut
10136,Frost RoboFalcons,Michigan
10137,Emerson RoboEagles,Michigan
10138,Newton Busters,Illinois
10139,Glitch Mob,Iowa
10143,Aero,Texas North
10158,Scott's Bots,Georgia
10161,Fayetteville Free Library Suits,New York Excelsior
10164,Techno Toasters,Michigan
10168,LJH Gator Techs,Florida
10169,Untamed Crimsons,New York Long Island
10173,Ravonics Gemini,Missouri
10179,Tech Turtles,Florida
10180,BrainSTEM,Michigan
10183,F.R.O.G  Frog Robots Of Germany,Germany
10185,From The Island Of Misfit Robots,Iowa
10191,Trial and Error Robotics,Mississippi
10195,Night Owls,North Carolina
10198,G.L.O.W.,Iowa
10202,Rocket Robotics,Michigan
10210,Aztechs,Michigan
10211,Team Hercules,Ohio
10216,SpiderByte,Chesapeake
10219,Batteries Not Included,Georgia
10237,US Robotics,Ohio
10238,TigerBots,Minnesota
10243,Ramsey Ramblers,New Jersey
10246,The Midnight Cicadas,Arizona
10253,Bobcats Robotics Junior Varsity,Illinois
10254,MCHS RoboLions,Illinois
10255,RoboDux,Michigan
10262,Pioneer Red Panthers,Michigan
10265,Force Green,Missouri
10273,The Cat in The Hat Comes Back,Minnesota
10274,MPHS Botcats,Oregon
10276,Storm Troopers,Florida
10280,TechnoLions,Michigan
10284,Team R.O.B.O.T. (Really Obsessed Builders Of To...,Florida
10293,Steel Wings,Indiana
10297,Knights in Aluminium,Michigan
10298,Brain Stormz,California Southern
10303,Robot Rebellion,Illinois
10309,Jefferson TechnoHuskies,Michigan
10320,Project Bulldog,California Northern
10331,ARC Hailstorm,Massachusetts
10332,Technical Difficulties,Oregon
10333,TechSpark,Pennsylvania
10343,WR Positive Charge,New Jersey
10348,Gear Masters,New Mexico
10353,Metal Works,Pennsylvania
10354,Mustangs 1.0,Texas Houston
10355,Project Peacock,Oklahoma
10358,Squatch Watch,Chesapeake
10366,WiredCats Future,Florida
10368,The Level Ups,Oklahoma
10369,Robosapiens,Arizona
10373,Black Ops,Utah
10383,RoboWarriors,Iowa
10391,Lynx Robotics,Tennessee
10392,The Rolling Drones,New York City
10393,Pink Droyd,New York City
10405,Ronin Knights,Texas Houston
10415,Warbots,Illinois
10420,Mechanized Kay-OS,Illinois
10421,Kay Tech,Illinois
10428,Ace Of Spades,Oregon
10430,D.U.C. (Ducks Under Construction),Minnesota
10435,Circuit Breakers,Iowa
10437,The Rusty Nuts,Texas North
10442,Metro Mechanics,Chesapeake
10448,Mach 5,Colorado
10452,SX Gearheads,Chesapeake
10455,Optimum Blue,Indiana
10458,EVE Robotics FTC,Georgia
10464,The Bionic Tigers,Kentucky
10466,BeckerFIRST Atlantis,Minnesota
10468,BeckerFIRST Endeavour,Minnesota
10470,Fatalis,Minnesota
10472,New Bedford Harpooners,Massachusetts
10474,Artificial Intellegence,Michigan
10475,The Spartan Bots,New York Excelsior
10477,Rapid Robots,Michigan
10484,Cyber Knights,Michigan
10505,Minivation,Illinois
10515,Xtreme Voltage,Chesapeake
10518,Cougarbots Alpha,Texas Central
10523,Dragons,Arizona
10526,BA BLACK: ÂµicroBotixs,Texas North
10528,BOTS IN BLACK,Texas West & Panhandle
10529,DinoBots,Texas West & Panhandle
10531,Team #10531,Oregon
10533,OHMS Velocity Raptors,Utah
10537,Brobotix,Georgia
10538,Team KILTS,Michigan
10539,Ultro,New York City
10540,Gear Grinders Junior,Michigan
10544,Cyber Eagles - Silver,Alberta
10548,Steel Wool,Washington
10552,Robo-Jackets,Michigan
10553,RaidX,New Jersey
10560,Robo Hawks,Massachusetts
10577,Thunder Chicks,Texas North
10582,Emerald Knights,New Jersey
10583,The Robotic Gladiators,Florida
10584,Keystone Heights High School,Florida
10588,The LUXONS,Missouri
10599,GMG Robotics,Iowa
10601,CBA RoboKings,Michigan
10602,Prolific,Iowa
10603,WOOD-CHIPS,New Jersey
10615,Jefferson CyDogs,Michigan
10617,On A Roll,Minnesota
10621,North Robotics,Indiana
10630,Robunculous Chunkulous,Illinois
10632,JECA RoboRaptors,Texas Central
10635,Unknown Element,Illinois
10639,ArgoKnights,New York City
10644,CyBugs,Michigan
10645,Hornet Hackers,Michigan
10650,Hazmat Robotics Biohazards,Florida
10653,SASA DRAGATRONS,Michigan
10656,Falcon Bots,Iowa
10660,HBMS Silver Knights 10660,New Hampshire
10662,Lazer Sharks in Space,Montana
10669,Clutch Squad,New Jersey
10673,Spudbots,California Southern
10676,Lady Warbots,Texas West & Panhandle
10695,Theta Robotics,Utah
10696,Syosset Syborgs,New York Long Island
10698,Mad Mechanics,Michigan
10703,Cyclones,Louisiana
10719,Termigators,Chesapeake
10721,Vikings,Michigan
10723,SnowBots Blue,Michigan
10731,Radioactive,Montana
10735,JaXon Falcon Works - Gold,Michigan
10738,SBS  Bears,New York Long Island
10752,The Power Rangers,Texas Houston
10755,The Technomages,Indiana
10760,TBD,Wisconsin
10768,Middleburg High School,Florida
10771,Le Pamplemousse,Pennsylvania
10773,Chariho Chargers,Rhode Island
10776,The Blackwater Bots,New York Excelsior
10779,Short Circuit Spartans,Michigan
10785,Highlanders,New Jersey
10788,Mountain Lakes Robotics,New Jersey
10789,Wolfpack,California Southern
10793,Voltrons,California San Diego
10798,Hazen Bison,North Dakota
10802,Brazosport Robotics Red,Texas Houston
10803,Awesome Aviators,Michigan
10805,MicroCreek,Michigan
10809,Crow Force,California San Diego
10812,STEMBOTS,Michigan
10818,Hardwired Robotics,Michigan
10820,Cyber Dragons,Connecticut
10824,Tesla Trojans,Wisconsin
10829,Bay Robotics,Wisconsin
10830,AJAX,Florida
10836,STEMper Fi,Illinois
10844,Wildbots,Michigan
10847,Robo Eagles,Rhode Island
10851,WASA,Ohio
10860,Squid Gear,Texas West & Panhandle
10861,Stumble Bots,Texas West & Panhandle
10862,Droid Rage - Nebula,Texas Central
10868,Roboteers,Missouri
10870,Ardsley Robotics,New York Excelsior
10874,LIONS,New Jersey
10899,Mansfield Mechanics United,Vermont
10902,Techno Pirates,Texas Central
10908,Not That I Know Of,Alaska
10918,SPACE,Netherlands
10921,Falcons,Texas Central
10936,Sigonella High School,Germany
10937,Stuttgart HS,Germany
10938,Baumholder (DSO),Germany
10939,UK024 Lakenheath HS RoboLancers,Germany
10941,SHAPE Robotics,Germany
10949,Mechanical Operations Bureau,New York Excelsior
10956,Astromania,Alaska
10963,KI Falcons,Texas Houston
10971,Somerset Bulldogs 2,Texas Central
10973,Somerset Bulldogs 1,Texas Central
10974,IronMariners,New Jersey
10975,Raiders-ShortCircuits,New Jersey
10984,Beep Patrol,Arizona
11000,Rowe-botic Warriors,Texas South
11002,"Die Toaster, Die!",Utah
11004,Cantina Crew,Texas West & Panhandle
11009,McHi Robodogs,Texas South
11030,Metal Jackets,Texas North
11039,Innov8rz,California Northern
11047,screw it,Chinese Taipei
11085,MHS Mad Hackers,Texas North
11093,MegaKnytes,Texas Central
11099,Tacobots,California Northern
11102,Team M.O.R.E. (Marshall Owls Robotics & Enginee...,Missouri
11109,Pirate Tekerz,Washington
11112,RoboLords,Chesapeake
11117,Autonomice,Minnesota
11124,Angelbots,New Jersey
11127,Whitefield Robotics,Georgia
11128,Inspiration,California San Diego
11129,Novi Robotitans,Michigan
11130,Kokomo RoboKats,Indiana
11132,HERD (High School Engineering Robotics Division),New Jersey
11138,Robo Eclipse,Washington
11139,Knight Owls,Illinois
11140,Legacy HighPoint International School,Mexico
11142,Robo Minions,Iowa
11144,Barker Bluebacks,Australia
11145,Barker Greenbacks,Australia
11146,Barker Tealbacks,Australia
11147,Barker Purplebacks,Australia
11148,Barker Greybacks,Australia
11156,Kaizen Cardinals,Texas South
11158,Deceptibots,Texas South
11159,Dr. Abraham P Cano Freshman Academy,Texas South
11161,Tennessee Robotics Club,Tennessee
11166,Big Red Robotics,New Jersey
11172,Static Discharge,Florida
11175,Providence Academy Lions,Minnesota
11177,Gear Grinders,Illinois
11180,Beaks n Bolts,New Jersey
11181,Robo-Raptors,Michigan
11183,32 Bit McQueen HS,Nevada
11186,Mecha-Mules,Washington
11187,AZTECHS FTC,Ohio
11191,Red Vectors,Missouri
11192,Black Tigers,Israel
11193,The Flying Dutchbots,Michigan
11200,Phenomena,Louisiana
11201,Piedmont Pioneers,California Northern
11203,DURT (DeSmet Ultimate Robotics Team),Missouri
11204,Shark A-Tech,Florida
11205,Edgemont Robotics Club,New York Excelsior
11206,Devildogs,Minnesota
11208,Kardia Robotics,Pennsylvania
11211,Tiger Robotics,Ohio
11212,The Clueless,California San Diego
11225,DELTA Robotics (Louisville Collegiate School),Kentucky
11226,Black Thunder,Israel
11228,OverClucked Bots,Michigan
11231,Cyborg Cats,Michigan
11235,Retro Robotics,Illinois
11240,Blazing Bronc0s,Oklahoma
11241,Blue Steel,New Jersey
11244,ELITE FROGS,Michigan
11245,Victor FTC Team 1,New York Excelsior
11246,Victor FTC Team 2,New York Excelsior
11248,//Cougars,New Jersey
11254,Robo Rhinos,Michigan
11258,Barker Yellowbacks,Australia
11260,Up-A-Creek Robotics,Colorado
11262,Patriot Bot,Indiana
11266,River Rat Robotics,Michigan
11270,Athena,Minnesota
11272,Genesis,Indiana
11276,Techno Toads,Michigan
11279,Pure Imagination,Tennessee
11285,PATENT PENDING,California San Diego
11304,Ridge Robotics,New Jersey
11308,YISE,Colorado
11311,Paragon,California Northern
11312,JSTEM Lightning: Bolts,Texas Central
11317,Alpha Wolfpack,Michigan
11319,Explorer Robotics,Pennsylvania
11322,Grace Ananas FTC,Australia
11323,Grace Mangos FTC,Australia
11329,I.C.E. Robotics,Indiana
11332,LASERS,California Southern
11333,Samurai,California Southern
11334,Alpha Tech,California Southern
11335,Delta Tech,California Southern
11336,Red Snow Robotics,California Southern
11337,Robonauts,California Southern
11338,JSTEM Lightning: Storm,Texas Central
11339,Williams Warrior Robotics,Texas North
11341,ViBÃ¸Ts,Texas North
11344,Merritt Oilers,Oklahoma
11347,CircuitRunners Robotics - Blackout,Alabama
11349,VorTech,Pennsylvania
11353,Lightning Robotics,Wisconsin
11354,The Midnight Ostrich Runners,Oklahoma
11359,Technicality,Massachusetts
11364,Eagle Robotics - Diamond Plate,Georgia
11365,Ticket To Paradise,Arizona
11379,PowerOp,California Southern
11380,Golden Path,California Southern
11382,D92 Vulcan,Illinois
11384,Thunderstruck,Iowa
11392,Defenestration,Illinois
11393,BraveBots,New York Excelsior
11396,ECR Eaglebots,New Jersey
11409,Robofobixx,Minnesota
11412,Green Stop Signs Chisago Lakes Middle School,Minnesota
11413,Auto Anonymous Chisago Lakes Middle School,Minnesota
11418,Clipper RoBoats,Iowa
11419,Jasper Jaguar Robotics Green,Texas North
11424,Batteries Not Included,North Carolina
11425,Murphy Mavbots Robotics Team,Texas North
11434,JagWires,Florida
11441,Chronobreak,Oregon
11443,ATOMIX 11443,Israel
11444,Garnet Squadron,South Carolina
11450,Dickinson Rams,New Jersey
11453,Uncertainty Principle,New York City
11454,Penguineers,South Carolina
11455,Memorial Raiders,Texas South
11456,Blair Academy,New Jersey
11457,STARbots,Missouri
11460,Sliced Breadboards,Massachusetts
11468,Ohm Raiders,Tennessee
11472,RavenClaw Robotics,Texas North
11487,Gadget Gryphons,Washington
11493,The Rockets,Pennsylvania
11500,St. Mark Robotics,Chesapeake
11503,ViperBots HyperFang,Texas Central
11505,The Flaming Galahs,Australia
11506,Flaming Tacos,Australia
11511,Referees,New Zealand
11514,Nexus,Missouri
11520,Omegabots 11520,Michigan
11525,Minerva's Mechanics,Chesapeake
11526,Dominican Valkyries,Louisiana
11528,Bots of Prey,North Carolina
11531,Techno Trojans - Green,Michigan
11534,Bot Brigade Quartic,Chesapeake
11536,Derryfield Fighting Cougars,New Hampshire
11539,Team Voltage,Missouri
11542,HCMS STEM Club,Alabama
11545,Dread Pirate Robots,Oregon
11546,BWS Dreamcast,California Southern
11547,Tech No Logic,Oregon
11556,Valley Catholic Robotics,Oregon
11561,The Headless Horsemen,Colorado
11562,Universal Robotics,Georgia
11563,Robo-Wranglers,Texas North
11567,Supernova,Israel
11570,Ãtude Engineers,Wisconsin
11572,Mouse Spit,Oklahoma
11574,Incognito,Nevada
11580,EagleBots,Ohio
11582,Franklin-Simpson RoboCats,Kentucky
11586,BeckerFIRST Discovery,Minnesota
11588,Carpe Diem,North Carolina
11591,AEMBOT,Oregon
11607,HazMatrix,New York Excelsior
11608,Crimson Robotics Armored Penguins,Minnesota
11609,Crimson Robotics Band-Aid,Minnesota
11612,Crimson Robotics Colossal Concave,Minnesota
11613,Crimson Robotics Ducks,Minnesota
11616,Wire-Catz,Michigan
11617,Chelsea Glitch,Michigan
11618,Chelsea Gremlins,Michigan
11619,Red Dead Invention,Florida
11635,Quack Attack,Israel
11649,Portledge Robo Time,New York Long Island
11659,Wheaton Robodogs,Missouri
11665,Iron Falcons,Nevada
11676,The ARKAtechs,Texas North
11678,Arrow Flight,Missouri
11684,GSA Cardinals,Missouri
11691,Scripps Dragons,Michigan
11695,DeJava,Chesapeake
11697,TECH-tonic,New Jersey
11703,Tacos In Kool Hats,Oregon
11706,Robots in Paradise,Florida
11712,Aberhart Inertia,Alberta
11714,Burr Oak BossCats,Michigan
11717,Circuit Breakers,Michigan
11719,Iron Hook,Texas West & Panhandle
11720,PUROBOTS - 11720,Texas West & Panhandle
11721,Central Processing Units,Iowa
11723,Canton GearHounds,Massachusetts
11729,Chelsea Crash,Michigan
11750,Bellatorum,Georgia
11752,Orphan Bots,Illinois
11754,EnergySmart FTC,New Jersey
11770,Curiosity,California Southern
11774,Palatka High School Robo-Panthers,Florida
11780,B.L.U.E Box,New Hampshire
11781,MVS Rambotics,Ohio
11786,2PawsRoboticsJr,Michigan
11792,BotsBurgh,Pennsylvania
11794,Sunrise Koolbotics,Arizona
11803,Achva Gilboa,Israel
11804,Stick-Shift,Chesapeake
11808,Connection,Israel
11822,S.T.E.M. - Bulldogs,Illinois
11825,Eclipse,California Southern
11830,RarBots,Pennsylvania
11834,Norse Coders,Iowa
11841,STEAM Punks,South Carolina
11846,Wayland Wildcat Cat-a-Tech-Nics,Michigan
11848,Spare Parts Robotics,Illinois
11855,Joe Bots - Blue,Michigan
11861,Yooper Troopers,Michigan
11866,HBMS Royal Knights 11866,New Hampshire
11867,Steel Stallions,Oklahoma
11871,Voltron,New Jersey
11873,Element Unknown,Minnesota
11890,ACMS Mad Machines,Oregon
11892,The Flash Drives,Florida
11898,Newark Memorial Robuckets,California Northern
11902,KillSwitch Robotics,Texas West & Panhandle
11908,GEAR,Missouri
