Team Number,Team Name
11409,Robofobixx
11873,Element Unknown
12649,Code Blooded
13546,Shifting Gears
14223,Robotic Raiders
14561,Tech Tigers
16539,Aluminum Warriors
17178,Phantom Warriors
19542,The CIA
19706,Potential Energy
19845,Titanium Warriors
20075,CapFish
20150,The Broken Hexagon
22161,M-TECH Dark Matter
22162,M-TECH ProtoPlazma
22178,Infrared
9536,Slobberbots
10466,BeckerFIRST Atlantis
10468,BeckerFIRST Endeavour
11586,BeckerFIRST Discovery
12045,Mech Tech II
15183,BeckerFIRST Apollo
16917,Gear Wizards
16981,Gear RaTiOs
19892,Digital Duks
22110,AL2
14236,Slight Malfunction
14799,LCS Javawocky
20217,Surge
8500,The Generals
10539,Ultro
11943,The Nighthawks
14413,Trinity Tigers
15580,Robo-Synthesis
16798,Redhawk Robotics
17522,ETech Chargers
18657,AIM Robotics
20233,Blazing Bluebots
21377,Botsworth
22324,ETech Spare Parts
9778,Robotic Chinchillas
11986,Code Blue
12398,Bobcat Robotics
13755,Robocat
16617,Nazareth Robotics
17028,DuMoore Robotics
18570,Swift PowerMech
18801,Crazy Hat People
18838,Robo's Pit Crew
19717,Bomb City Bots Blue
19782,Hart Robotics
19955,Robo Rangers
19956,Mechanical Mayhem
19957,Khaos
21780,Longhorn Robotics
21848,DuMoore Robotics 2.0
22304,Bomb City Bots Gold
22306,Bomb City Bots White
506,Pandara
516,Gears of Fire
3101,Boom Bots
3123,Spontaneous Combustion
3736,Serious Business
3830,Violet Fusion
3839,Mechanical Geniuses
11706,Robots in Paradise
14226,Ironic
15006,Nerdvana
15858,e=mc Hammer
17115,Patriots
21745,Robo Lancers
21944,RNDOPS
22473,AMIKids Motion
22474,AMIKids Future Masterminds
22475,AMIKids SOG
10179,Tech Turtles
14707,Zero Logic
14708,Short Circuits
15297,Legacy
16626,Radical Raiders
17561,Isotopic Blatta
18147,The Imposters
18699,The Purple Axolotls
22218,Dog Bytes
4100,Darbots 1
6047,Twisted Axles
7373,Eagle Robotics - Carbon Fiber
10068,Duct-Ties & Zip-Tape
11364,Eagle Robotics - Diamond Plate
16757,Primum Optimus
17379,Romebotics
2858,"Sparbots, FTC Green"
6278,Dwayne
9206,iRobotics
10158,Scott's Bots
10537,Brobotix
14682,Gears & Spears
14778,Autonomous Anonymous 
21947,"Sparbots, FTC Silver"
22160,Nuts and Bolts
22301,Legionaries
7332,DodgerBOTS
9973,Scrap Mechanics
10185,From The Island Of Misfit Robots
13416,JagWires
14452,Biohazard Bots
15071,Gearheads
21311,Lion Robotics
4537,DRSS Enterprise
5040,Nuts & Bolts
8417,'Lectric Legends
10464,The Bionic Tigers
11225,DELTA Robotics (Louisville Collegiate School)
14709,Augusta Panthers
18208,Trinity Titans
19841,RAMbotics
20694,Craft Coalition 
21623,Failing Formally
7693,TECHNADOS
10016,Clarkston RoboWolves
11717,Circuit Breakers
14066,Berkshire Hazards
14638,Infinity & Beyond
14757,The SashaBRAWLERS
15471,Furious Flames
16734,Delivery Ducks
17181,Vibranium Vikings
18954,Viking Tech
22134,Gear G.O.A.Ts
10803,Awesome Aviators
14670,TerrorBytes
14936,Ribbit Ravens
14937,Electro-Ravens
14938,Goofy AAAAH Ravens
14939,Ruthless Ravens
14941,The Professionals
14944,Riverbots
14946,"Robo Ravens, Jr."
14947,Robotic Ravens
15770,Spartbots
21518,The Atomic Toasters
21522,Robo Falcons
3093,The Metal Mercenaries
3963,Iron Legion
9044,NERD-Hinsin's Legacy
10428,Ace Of Spades
12721,Apollo
14876,TRA3N REX
22167,Infinity Angles
22168,Capybearings
22293,NERD-Airship
4859,Westerner Mechnoblades
4894,Waggish Walen's Western Warblers	
4895,The Dueling Westerners	
10676,Lady Warbots
13788,Talkington Tinies
13825,Westerner Cobots	
15592,T-Force
17251,Divide & Conquer
17461,Trial & Error
18318,Matador Robotics
19428,Purple People Eaters
19433,Astros in the Ocean
22329,Westernators
16272,Mark X
17011,Mercenaries
17348,MCA Horsepower - Gold
17385,MCA Horsepower - Blue
18121,MiT - Mercenaries in Training
21171,The Marvels of M12
21683,Titan Robotics
8204,Blue Machine
12430,Dub East
13140,The P-51 Mustangs: Team Imagine
13141,The P-51 Mustangs: Team Inspire
13142,The P-51 Mustangs: Team Innovate
13539,RoboChargers - Thunder - Yellow
13542,RoboChargers - Typhoon - Blue
13552,RoboChargers - Terremoto - Pink
18871,RoboChargers - Purple
