Link,Name,Location,Start,End
USFLFLNEM2,FL North East League Meet #2,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USFLFLSPM5,FL Space Coast Cone Wars-May the Power be with You,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USGADOUGM2,GA Douglasville Meet 2,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USGAMACM2,GA Macon Meet 2,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USGAMACM3,GA Macon Meet 3,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USGAATLM4,GA Atlanta Meet 4,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USHI01M3,HI Kukui Grove Mall - Lihue,USA,2022-11-20 00:00:00,2022-11-20 00:00:00
USHI01M2,HI Le Jardin Academy,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USIAHYM9,IA Hydro_Meet_2022-11-19_IowaCity,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USIACHM4,IA Chemical_Meet_2022-11-19,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USIANUM3,IA Nuclear_Meet_2022-11-19,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USIAGEM3,IA Geothermal_Meet_2022-11-19,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USIAGEM7,IA Geothermal_Meet_2022-11-17,USA,2022-11-17 00:00:00,2022-11-17 00:00:00
USIAWIM7,IA Wind_Meet_2022-11-19,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USIASOM6,IA Solar_Meet_2022-11-19,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USIAMAM9,IA Magnetic_Meet_2022-11-19,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USIAHYM8,IA Hydro_Meet_2022-11-19_Davenport,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USIAHYM5,IA Hydro_Meet_2022-11-17,USA,2022-11-17 00:00:00,2022-11-17 00:00:00
USILSM1,IL Southern Meet 1,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USILWM1,IL Western Meet 1,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USILRM1,IL Rockford Meet 1,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USILCMM1C,IL Chicago Meet 1C,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USMOKSKCWM3,MOKS-KS Schlagle KC West AM,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USMOKSKCEM4,MOKS-KS Schlagle KC East PM,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USMISCM5,MI South Central Meet 7,USA,2022-11-17 00:00:00,2022-11-17 00:00:00
USMILOQ2,MI Lake Orion FTC Qualifier,USA,2022-11-18 00:00:00,2022-11-19 00:00:00
USMIHOQ,MI Howell FTC Qualifier,USA,2022-11-18 00:00:00,2022-11-19 00:00:00
USMIOCM3,MI OCCRA Meet 5,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USMINOQ,MI Novi FTC Qualifier,USA,2022-11-18 00:00:00,2022-11-19 00:00:00
USMITEQ,MI Bedford FTC Qualifier,USA,2022-11-18 00:00:00,2022-11-19 00:00:00
USMISCM9,MI South Central Meet 8,USA,2022-11-18 00:00:00,2022-11-18 00:00:00
USMIFRQ,MI Fruitport FTC Qualifier,USA,2022-11-18 00:00:00,2022-11-19 00:00:00
USMISCM6,MI South Central Meet 9,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USMIWCM3,MI Metro Detroit Meet 4,USA,2022-11-16 00:00:00,2022-11-16 00:00:00
USMNPM2,MN FTC Pepin League Meet 2,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USMNVM1,MN FTC Vermillion League Meet 1,USA,2022-11-18 00:00:00,2022-11-18 00:00:00
USMNPLQ1,MN FTC Prior Lake Sat. Nov. 19,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USMNMM2,MN FTC Mille Lacs League Meet 2,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USMNPLQ2,MN FTC Prior Lake Sun. Nov. 20,USA,2022-11-20 00:00:00,2022-11-20 00:00:00
USMOKSSTLSM7,MOKS-MO Lutheran Church of the Resurrection,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USMOKSSTLNM8,MOKS-MO McCluer South-Berkeley STEAM Academy,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USMSOXS1,MS Gulf Coast Scrimmage,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USNHHUS2,NH Alvirne Scrimmage #2,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USNJUCM8,NJ 1120-P2 PM Upper Central League Meet (Sunday),USA,2022-11-20 00:00:00,2022-11-20 00:00:00
USNJUCM5,NJ 1120-P2  AM Upper Central League Meet (Sunday),USA,2022-11-20 00:00:00,2022-11-20 00:00:00
USNJNOM1,NJ 1119-P2  Northern League meet (Saturday),USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USNVNOM1N,NV Northern League Meet # 1N,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USNVSOM1S,NV Southern League Meet # 1S,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USOHLOS,OH Loveland Scrimmage,USA,2022-11-20 00:00:00,2022-11-20 00:00:00
USOKOKLAM7,OK Bishop Kelley - afternoon,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USOKOKLAM6,OK Bishop Kelley - morning,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USORMWM1,OR Midwestern League Meet 1,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USORNCM3,OR North Coast League Meet 2,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USORCBM1,OR Columbia Basin League Meet 1,USA,2022-11-16 00:00:00,2022-11-16 00:00:00
USRINKS,RI Holiday Battle Scrimmage,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USTXNOBLM2,TX-North B-League Meet 2,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USTXNOXMLM1B,TX-North X-League Metro Meet 1B,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USTXSOTEM1,TX-South Tesla Meet 1 (Laredo),USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USTXNOXMLM1A,TX-North X-League Metro Meet 1A,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USTXHOSELM1,TX-Houston SE Meet 1,USA,2022-11-19 00:00:00,2022-11-19 00:00:00
USTXCEWAM1,TX-Central Waco League Meet 1,USA,2022-11-17 00:00:00,2022-11-17 00:00:00
AUPYQ,AU Sydney Qualifier,Australia,2022-11-27 00:00:00,2022-11-27 00:00:00
AUTOQ,AU Adelaide Qualifier,Australia,2022-11-26 00:00:00,2022-11-26 00:00:00
CAABABNAM2,AB Northern Alberta Round #2,Canada,2022-11-26 00:00:00,2022-11-26 00:00:00
CABCVAS2,BC Vancouver Scrimmage 2,Canada,2022-11-27 00:00:00,2022-11-27 00:00:00
CABCVAS3,BC Victoria Scrimmage 3,Canada,2022-11-26 00:00:00,2022-11-26 00:00:00
CABCVAS,BC Vancouver Scrimmage 1,Canada,2022-11-26 00:00:00,2022-11-26 00:00:00
CAONSCQ2,ON Central Scarborough Qualifier,Canada,2022-11-26 00:00:00,2022-11-26 00:00:00
KZALQ1,KZ Haileybury,Kazakhstan,2022-11-26 00:00:00,2022-11-27 00:00:00
NLNLM6,NL League Meet Eindhoven,Netherlands,2022-11-26 00:00:00,2022-11-26 00:00:00
USGAALBM3,GA Albany Meet 3,USA,2022-11-26 00:00:00,2022-11-26 00:00:00
USHI01M4,HI Mililani High School,USA,2022-11-26 00:00:00,2022-11-26 00:00:00
USIAGEM4,IA Geothermal_Meet_2022-11-21,USA,2022-11-21 00:00:00,2022-11-21 00:00:00
USMIOCM6,MI OCCRA Meet 6,USA,2022-11-22 00:00:00,2022-11-22 00:00:00
USNJUCM7,NJ 1126-P1-PM  Upper Central League Meet (Saturday),USA,2022-11-26 00:00:00,2022-11-26 00:00:00
USNJUCM1,NJ 1126-P1-AM  Upper Central League Meet (Saturday),USA,2022-11-26 00:00:00,2022-11-26 00:00:00
USNJSOM3,NJ 1127-P1  AM Southern League Meet (Sunday),USA,2022-11-27 00:00:00,2022-11-27 00:00:00
USNJSOM7,NJ 1127-P1 PM Southern League Meet (Sunday),USA,2022-11-27 00:00:00,2022-11-27 00:00:00
CAONSUQ,ON Sudbury Qualifier,Canada,2022-12-03 00:00:00,2022-12-03 00:00:00
CAONWIQ,ON Windsor Qualifier,Canada,2022-12-04 00:00:00,2022-12-04 00:00:00
NLNLM1,NL League Meet The Hague,Netherlands,2022-12-03 00:00:00,2022-12-03 00:00:00
USALHUS1,AL Scrimmage #1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USAZGLQ,AZ Cactus - Anthem Qualifier,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USCALAEM1,CA-SoCal League E - Meet 1,USA,2022-12-04 00:00:00,2022-12-04 00:00:00
USCALAA1M1,CA-SoCal League A1 - Meet 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USCALABM1,CA-SoCal League B - Meet 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USCALAC1M1,CA-SoCal League C1 - Meet 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USCANOSUQ,CA-NorCal Google Qualifying Tournament,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USCALAF1M2,CA-SoCal League F1 - Meet 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USCALAF2M1,CA-SoCal League F2 - Meet 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USCALAA2M1,CA-SoCal League A2 - Meet 1,USA,2022-12-04 00:00:00,2022-12-04 00:00:00
USCANOSAQ,CA-NorCal Saratoga Qualifying Tournament,USA,2022-12-04 00:00:00,2022-12-04 00:00:00
USCOENS,CO Colorado Early Colleges,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USFLFLSPM2,FL Space Coast Continuous Charge,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USFLFLOCM3,FL ONECLAY League Meet #3,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USGANORTM4,GA N Georgia Meet 4,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USGAETOWM5,GA Etowah Meet 5,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USGAALBM4,GA Albany Meet 4,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USGANORTM3,GA N Georgia Meet 3,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USGAETOWM4,GA Etowah Meet 4,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USIAWIM3,IA Wind_Meet_2022-12-03,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USIANUM4,IA Nuclear_Meet_2022-12-03_Dike,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USIAMAM7,IA Magnetic_Meet_2022-12-03,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USIAHYM2,IA Hydro_Meet_2022-12-03,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USIASOM3,IA Solar_Meet_2022-12-03,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USIACHM1,IA Chemical_Meet_2022-12-03,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USIAGEM9,IA Geothermal_Meet_2022-12-03,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USIANUM6,IA Nuclear_Meet_2022-12-03_Arlington,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USIDPFS3,ID North Idaho Scrimmage #3,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USILCMM2a,IL Chicago Meet 2A,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USINISM1,IN FIN Indy South League Meet 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USINNCM2,IN FIN North Central League Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USINNWM1,IN West Central League Meet #1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USINNCM1,IN FIN North Central League Meet 1,USA,2022-11-29 00:00:00,2022-11-29 00:00:00
USINBES,IN FIN South League Scrimmage,USA,2022-12-02 00:00:00,2022-12-02 00:00:00
USMIGWQ,MI Grosse Pte. Woods FTC Qualifier,USA,2022-12-03 00:00:00,2022-12-04 00:00:00
USMIPEQ,MI Pellston FTC Qualifier,USA,2022-12-02 00:00:00,2022-12-03 00:00:00
USMITRQ,MI Troy FTC Qualifier,USA,2022-12-02 00:00:00,2022-12-03 00:00:00
USMISCLT,MI South Central League Tournament,USA,2022-12-02 00:00:00,2022-12-03 00:00:00
USMIDEQ,MI Detroit FTC Qualifier,USA,2022-12-02 00:00:00,2022-12-03 00:00:00
USMISELT,MI South East League Tournament,USA,2022-12-02 00:00:00,2022-12-03 00:00:00
USMNVM2,MN FTC Vermillion League Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USMNMGQ1,MN FTC Maple Grove Sat. Dec. 3,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USMNMGQ2,MN FTC Maple Grove Sun. Dec. 4,USA,2022-12-04 00:00:00,2022-12-04 00:00:00
USMOKSSTLMM2,MOKS-MO Franklin Co Baptist PM,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USMOKSSTLNM3,MOKS-MO Orchard Farm,USA,2022-12-02 00:00:00,2022-12-02 00:00:00
USMOKSKCEM2,MOKS-MO Pleasant Lea AM,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USMOKSSTLSM2,MOKS-MO Webster Groves 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USMOKSSWMIM3,MOKS-MO Kickapoo 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USMOKSSTLMM3,MOKS-MO Franklin Co Baptist AM,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USMOKSSEM2,MOKS-MO Poplar Bluff,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USMOKSKCWM2,MOKS-MO Pleasant Lea PM,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USMSFLQ1,MS Flowood Qualifier,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USMTBUQ,MT Butte Qualifier,USA,2022-12-02 00:00:00,2022-12-03 00:00:00
USNJSOM1,NJ 1204-P2  Southern League meet (Sunday),USA,2022-12-04 00:00:00,2022-12-04 00:00:00
USNJNEM1,NJ 1203-P2 Northeast Edge League meet (Saturday),USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USNMANQ,NM Alamogordo FTC Qualifier,USA,2022-12-02 00:00:00,2022-12-03 00:00:00
USNYNYBRQ,NY-NYC Qualifier 4,USA,2022-12-04 00:00:00,2022-12-04 00:00:00
USNYNYBRQ3,NY-NYC Qualifier 3,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USOHCOHLM3,OH Central Ohio League Meet 3,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USOKOKLAM9,OK Muskogee December - morning,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USOKOKLAM8,OK Muskogee December - afternoon,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USPAGIS,Green and Red Scrimmage,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USSCNES,SC Midlands/Upstate Scrimmage 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USSCLAS,SC PeeDee Scrimmage 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXNONLM3,TX-North N-League Meet 3,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXCESTM2,TX-Central SSTallions Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXNODLM2,TX-North D-League Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXCEGCM2,TX-Central Sylvia Earle Meet 3,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXCEGCM3,TX-Central Daphne Koller Meet 3,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXCENSAM4,TX-Central Hill Country Field Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXWPLAM2,TX-W&P Lubbock-A League Meet #2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXWPLBM2,TX-W&P Lubbock-B League Meet #2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXWPEPM2,TX-W&P El Paso League Meet #2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXCEGMM2,TX-Central GEMS Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXCEAUS2,TX-Central Vandegrift HS Scrimmage,USA,2022-11-30 00:00:00,2022-11-30 00:00:00
USTXNOCLM3,TX-North C-League Meet 3,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USTXHOSLM2,TX-Houston South League Meet 2,USA,2022-12-03 00:00:00,2022-12-04 00:00:00
USTXCENSAM3,TX-Central North San Field Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USCHSMEQ2,CHS-VA Mechanicsville Qualifier 2,USA,2022-12-04 00:00:00,2022-12-04 00:00:00
USCHSCHQ,CHS-VA Christiansburg Qualifier,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USCHSMEQ1,CHS-VA Mechanicsville Qualifier 1,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USVTHIS,VT FTC Scrimmage at CVU,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USWASAM2,WA Salk League Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USWABRM2,WA Brattain League Meet 2,USA,2022-12-04 00:00:00,2022-12-04 00:00:00
USWAHOM2,WA Hopper League Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USWABAM2,WA Bardeen League Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USWALOM2,WA Lovelace League Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USWASHM2,WA Shockley League Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USWAAGM2,WA Agnesi League Meet 2,USA,2022-12-03 00:00:00,2022-12-03 00:00:00
USWASPM2,WA Spencer League Meet 2,USA,2022-12-04 00:00:00,2022-12-04 00:00:00
USWATUM2,WA Turing League Meet 2,USA,2022-12-04 00:00:00,2022-12-04 00:00:00
USWISHQ,WI Red Raider FIRST Tech Challenge Qualifier,USA,2022-12-02 00:00:00,2022-12-03 00:00:00
AUCMP,Australian National Championship,Australia,2022-12-10 00:00:00,2022-12-11 00:00:00
CAABABNAM3,AB Northern Alberta Round #3,Canada,2022-12-10 00:00:00,2022-12-10 00:00:00
CABCKIS,BC Northern Scrimmage 5,Canada,2022-12-10 00:00:00,2022-12-10 00:00:00
CABCVAS4,BC Remote Scrimmage 4,Canada,2022-12-01 00:00:00,2022-12-07 00:00:00
CAONSCQ,ON North Scarborough Qualifier,Canada,2022-12-10 00:00:00,2022-12-10 00:00:00
CAONBOQ,ON Bolton Qualifer,Canada,2022-12-10 00:00:00,2022-12-10 00:00:00
NLNLM2,NL League Meet Hasselt,Netherlands,2022-12-10 00:00:00,2022-12-10 00:00:00
NZCMP,New Zealand National Championship,New Zealand,2022-12-09 00:00:00,2022-12-10 00:00:00
THCMP,Thailand FTC Championship Event,Thailand,2022-12-07 00:00:00,2022-12-10 00:00:00
USAKANQ,AK Southcentral Alaska Qualifier,USA,2022-12-09 00:00:00,2022-12-10 00:00:00
USAKJUQ,AK Southeast Alaska Qualifier,USA,2022-12-09 00:00:00,2022-12-10 00:00:00
USARMHS,AR Mountain Home Scrimmage,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USCALAVM2,CA-SoCal League V - Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USCANOPNM2,CA-NorCal Peninsula League Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USCALAO1M1,CA-SoCal League O1 - Meet 1,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USCANOPIQ,CA-NorCal Piedmont Qualifying Tournament,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USCASDSDDEM2,"CA- San Diego Descartes Meet #2, Pacific Ridge",USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USCALADM2,CA-SoCal League D - Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USCANODUQ,CA-NorCal Dublin Qualifying Tournament,USA,2022-12-11 00:00:00,2022-12-11 00:00:00
USCASDSDEUM2,"CA- San Diego Euclid Meet #2, Pacific Ridge",USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USCALAWM1,CA-SoCal League W - Meet 1,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USCASDSDTUM2,"CA- San Diego Turing Meet #2, Pacific Ridge",USA,2022-12-11 00:00:00,2022-12-11 00:00:00
USCASDSDGAM2,"CA- San Diego Gauss Meet #2, Pacific Ridge",USA,2022-12-11 00:00:00,2022-12-11 00:00:00
USCOGRS,CO EGMS - Scrimmage,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USFLFLROM1,FL ROBOT League Seven Rivers Shenanigans,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USFLFLNEM3,FL North East League Meet #3,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USFLFLSFM2,FL South Florida League Meet #2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USFLFLACM3,FL AeroCoast League Meet #3,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USFLFLGCM2,FL Gulf Coast League Meet #2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USGAATLLT,GA Atlanta League Tournament,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USGAMACM4,GA Macon Meet 4,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USGAMARIM3,GA Marietta Meet 3,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USGAMACM5,GA Macon Meet 5,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USGAJACKM4,GA Jackson Meet 4,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USGAJACKM3,GA Jackson Meet 3,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USGAATHM3,GA Caterpillar Meet 3,USA,2022-12-06 00:00:00,2022-12-06 00:00:00
USHI01LT,HI Le Jardin Academy,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USIAMAM1,IA Magnetic_Meet_2022-12-10,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USIAGEM8,IA Geothermal_Meet_2022-12-10,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USIAHYM1,IA Hydro_Meet_2022-12-10,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USIAWIM1,IA Wind_Meet_2022-12-10,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USIASOM1,IA Solar_Meet_2022-12-10,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USIANUM1,IA Nuclear_Meet_2022-12-10,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USILCM2,IL Central Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USILFNM2,IL Fox Valley North Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USILFSM2,IL Fox Valley South Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USILCMM2B,IL Chicago Meet 2B,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USILSM2,IL Southern Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USILNEM2,IL Northeast Lake Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USILNSM2,IL North Shore Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USILPM2,IL Peoria Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USINISM2,IN FIN Indy South League Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USMOKSKCEM3,MOKS-KS Heritage Christian KC East PM,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USMOKSKCWM4,MOKS-KS Heritage Christian KC West AM,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USMIBRQ,MI Big Rapids FTC Qualifier,USA,2022-12-09 00:00:00,2022-12-10 00:00:00
USMIFLQ,MI Kettering FTC Qualifier,USA,2022-12-09 00:00:00,2022-12-10 00:00:00
USMICOQ,MI Coloma FTC Qualifier,USA,2022-12-09 00:00:00,2022-12-10 00:00:00
USMICMP2,Michigan FTC State Championship-SE,USA,2022-12-08 00:00:00,2022-12-10 00:00:00
USMNVM3,MN FTC Vermillion League Meet 3,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USMNCM3,MN FTC Cass Lake League Meet 3,USA,2022-12-08 00:00:00,2022-12-08 00:00:00
USMNNBQ2,MN FTC New Brighton Sun. Dec. 11,USA,2022-12-11 00:00:00,2022-12-11 00:00:00
USMNNBQ1,MN FTC New Brighton Sat. Dec. 10,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USMOKSSTLNM2,MOKS-MO Incarnate Word Academy PM,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USMOKSSWMIM1,MOKS-MO Rolla Technical Institute 1,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USMOKSSTLNM1,MOKS-MO Incarnate Word Academy AM,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USNCBUS,NC FTC Official Scrimmage,USA,2022-12-11 00:00:00,2022-12-11 00:00:00
USNDALS,ND Dakota Alexander Comets Scrimmage,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USNJNOM4,NJ 1211-P2  Northern League Meet (Sunday),USA,2022-12-11 00:00:00,2022-12-11 00:00:00
USNJUCM3,NJ 1210-P2  Upper Central League Meet (Saturday),USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USNVNOM2N,NV Northern League Meet # 2N,USA,2022-12-08 00:00:00,2022-12-08 00:00:00
USNVSOM2S,NV Southern League Meet # 2S,USA,2022-12-08 00:00:00,2022-12-08 00:00:00
USOKOKLAM1,OK TSAS December,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USORCBM2,OR Columbia Basin League Meet 2,USA,2022-12-07 00:00:00,2022-12-07 00:00:00
USORSOM2,OR SOAR League Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USORSFM2,OR Silicon Forest League Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USORRCM2,OR Rose City League Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USORNCM2,OR North Coast League Meet 3,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USSCMAS,SC Upstate/Midlands Scrimmage 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USSCNLCS2,SC Lowcountry Scrimmage 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USTXHONLM1,TX-Houston North League Meet 1,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USTXHONEM1,TX-Houston Northeast League Meet 1,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USTXNOBLM3,TX-North B-League Meet 3,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USTXNOFLM2,TX-North F-League Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USTXNOXMLM2B,TX-North X-League Metro Meet 2B,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USTXWPMDM2,TX-W&P Midland League Meet #2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USTXNOTLM2,TX-North T-League Meet 2,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
USTXHOHOS1,TX-Houston East League Scrimmage,USA,2022-12-10 00:00:00,2022-12-10 00:00:00
