Link,Name,Location,Start,End
USOHCOHLM1,OH Central Ohio League Meet 1,USA,2022-11-02 00:00:00,2022-11-02 00:00:00
USOKOKLAM5,OK Muskogee November - afternoon,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USOKOKLAM4,OK Muskogee November - morning,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USTXCESTM3,TX-Central SSTallions Meet 1,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USTXNODLM1,TX-North D-League Meet 1,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USTXHOSLM1,TX-Houston S Meet 1,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USTXHOPAS,TX-Houston South League Practice Session,USA,2022-11-02 00:00:00,2022-11-04 00:00:00
USTXWPEPM1,TX-W&P El Paso League Meet #1,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USWAHOM1,WA Hopper League Meet 1,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USWATUM1,WA Turing League Meet 1,USA,2022-11-06 00:00:00,2022-11-06 00:00:00
USWAAGM1,WA Agnesi League Meet 1,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USWASAM1,WA Salk League Meet 1,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USWABRM1,WA Brattain League Meet 1,USA,2022-11-06 00:00:00,2022-11-06 00:00:00
USWASPM1,WA Spencer League Meet 1,USA,2022-11-06 00:00:00,2022-11-06 00:00:00
USWASHM1,WA Shockley League Meet 1,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USWABAM1,WA Bardeen League Meet 1,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
USWALOM1,WA Lovelace League Meet 1,USA,2022-11-05 00:00:00,2022-11-05 00:00:00
CAONSCS,ON Fall Fiesta @ Bethune CI,Canada,2022-11-12 00:00:00,2022-11-12 00:00:00
USAKJUS1,AK Southeast Scrimmage #2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USAKAKSCM3,AK Southcentral Alaska League Meet #3,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USCALASMS,CA- SoCal League W - Meet 0,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USCALALAS,CA-SoCal League A1 - Meet 0,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USCALAVM1,CA-SoCal League V - Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USCALACOS,CA-SoCal League B - Meet 0,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USCALALCS1,CA-SoCal League C2 - Meet 0,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USCALACLS,CA-SoCal League E - Meet 0,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USCOFCS,CO Poudre High School,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USCODES,CO University of Colorado Denver,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USFLFLOCM2,FL ONECLAY League Meet #2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USFLFLGCM1,FL Gulf Coast League Meet #1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USFLFLSFM1,FL South Florida League Meet #1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USGAATLM3,GA Atlanta Meet 3,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USGAJACKM2,GA Jackson Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USGAATHM2,GA Caterpillar Meet 2,USA,2022-11-08 00:00:00,2022-11-08 00:00:00
USGAETOWM2,GA Etowah Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USGAJACKM1,GA Jackson Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USGAALBM2,GA Albany Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USGAMARIM2,GA Marietta Meet 2,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USGAETOWM3,GA Etowah Meet 3,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USHI01M1,HI Kalani High School,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USIASOM5,IA Solar_Meet_2022-11-12,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USIACRS,IA Geothermal_Scrimmage_2022-11-09,USA,2022-11-09 00:00:00,2022-11-09 00:00:00
USIAGEM6,IA Geothermal_Meet_2022-11-12,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USIANUM5,IA Nuclear_Meet_2022-11-12,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USIAHYM4,IA Hydro_Meet_2022-11-12,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USIACHM3,IA Chemical_Meet_2022-11-12,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USILFSM1,IL Fox Valley South Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USILCMM1B,IL Chicago Meet 1B,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USILFNM1,IL Fox Valley North Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USILCM1,IL Central Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USILSSM1,IL South Suburbs Meet 1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USKYKYM3,KY Dunker Meet #1,USA,2022-11-12 00:00:00,2022-11-12 00:00:00
USLABRS,LA Dark Matter and LSU SPM Scrimmage,USA,2022-11-11 00:00:00,2022-11-13 00:00:00
