OPR1,Auto1,CCWM1,OPR2,Auto2,CCWM2,OPR3,Auto3,CCWM3,OPR4,Auto4,CCWM4,score1,score2,diff
51.078,9.659,17.473,18.608,17.983,-21.124,11.141,11.085,-39.984,18.076,1.41,-27.49,123,11,112
57.493,10.106,5.987,68.999,19.119,24.521,36.958,13.836,27.577,35.487,-4.098,-12.941,105,78,27
5.731,-6.202,-73.709,64.786,19.732,45.192,40.279,16.49,-22.901,76.227,10.175,46.247,102,114,-12
16.198,-0.65,-27.922,6.649,4.368,-56.778,10.917,5.183,-8.793,97.66,20.934,69.177,32,95,-63
0.797,-1.06,-52.085,14.835,5.621,-56.11,108.361,23.085,85.712,89.777,20.987,50.822,48,198,-150
46.183,9.184,35.901,85.693,21.431,33.601,45.707,5.898,-34.589,23.881,-2.502,-39.712,118,69,49
76.52,15.174,41.904,22.707,-2.681,-36.718,72.187,17.358,46.128,27.917,12.013,-46.968,135,66,69
33.148,13.344,-16.492,68.21,11.882,13.096,28.423,2.272,-46.825,57.025,15.797,52.487,106,80,26
40.187,7.619,-11.597,43.974,7.004,12.831,66.945,9.269,50.007,14.893,6.939,-54.97,50,94,-44
25.559,2.228,-54.735,11.141,11.085,-39.984,60.292,3.555,42.889,14.032,0.669,-32.641,33,106,-73
57.493,10.106,5.987,25.727,-1.528,-31.058,25.836,2.517,-37.267,53.874,0.507,7.394,97,96,1
18.076,1.41,-27.49,41.712,17.499,-6.453,61.985,15.157,43.738,91.433,22.181,63.366,61,176,-115
68.999,19.119,24.521,6.649,4.368,-56.778,23.761,1.252,-27.953,76.227,10.175,46.247,90,93,-3
51.078,9.659,17.473,0.797,-1.06,-52.085,63.065,14.652,8.938,10.917,5.183,-8.793,26,92,-66
18.608,17.983,-21.124,35.487,-4.098,-12.941,42.305,1.772,6.548,56.728,24.086,10.146,76,87,-11
5.731,-6.202,-73.709,121.588,26.068,61.097,97.66,20.934,69.177,38.03,3.21,-13.884,107,121,-14
6.296,-2.961,-17.833,18.416,8.414,-24.51,14.835,5.621,-56.11,64.786,19.732,45.192,45,51,-6
16.198,-0.65,-27.922,70.283,26.771,32.703,36.958,13.836,27.577,108.361,23.085,85.712,67,133,-66
